SKU,WAPE
SKU043,14.940239043824702
SKU017,15.395894428152493
SKU035,15.641293013555787
SKU044,15.763546798029557
SKU030,15.837104072398189
SKU020,15.926493108728943
SKU019,16.05263157894737
SKU014,16.75338189386056
SKU005,16.925064599483207
SKU018,17.322834645669293
SKU012,17.351215423302598
SKU008,18.21808510638298
SKU034,18.259935553168635
SKU027,18.289585097375106
SKU050,18.305084745762713
SKU010,18.84422110552764
SKU026,18.91625615763547
SKU001,19.025157232704405
SKU006,19.463087248322147
SKU046,19.518072289156628
SKU045,19.538188277087034
SKU033,19.59378733572282
SKU042,19.867549668874172
SKU031,20.918984280532044
SKU032,20.919540229885058
SKU023,21.007194244604317
SKU041,21.372549019607842
SKU007,21.465968586387437
SKU040,21.654135338345863
SKU047,22.014388489208635
SKU002,22.377622377622377
SKU009,22.437137330754354
SKU021,22.65193370165746
SKU039,23.18840579710145
SKU029,23.319615912208505
SKU037,23.396567299006325
SKU049,23.442906574394463
SKU013,23.48367029548989
SKU036,24.017467248908297
SKU003,25.396825396825395
SKU016,26.02291325695581
SKU024,26.791808873720136
SKU038,27.157360406091367
SKU022,29.817444219066935
SKU048,30.50397877984085
SKU004,30.630630630630627
SKU015,40.106951871657756
SKU028,45.714285714285715
SKU025,46.728971962616825
SKU011,52.27272727272727
